start: 86541 constraints, oracle holds
  test 454: g=16 try 210 rows -> lost [1,5s]
  test 455: g=16 try 210 rows -> lost [1,6s]
  test 456: g=32 try 217 rows -> lost [2,0s]
  test 457: g=32 try 217 rows -> lost [2,1s]
  test 458: g=32 try 217 rows -> lost [2,2s]
  test 459: g=32 try 217 rows -> lost [2,0s]
  test 460: g=32 try 217 rows -> lost [2,0s]
  test 461: g=32 try 217 rows -> lost [1,2s]
  test 462: g=32 try 217 rows -> REPRO (kept) [2,0s]
  test 463: g=2 try 108 rows -> lost [1,7s]
  test 464: g=2 try 109 rows -> lost [1,8s]
  test 465: g=4 try 162 rows -> lost [1,5s]
  test 466: g=4 try 162 rows -> lost [2,1s]
  test 467: g=4 try 162 rows -> lost [2,0s]
  test 468: g=4 try 165 rows -> lost [1,4s]
  test 469: g=8 try 189 rows -> lost [2,1s]
  test 470: g=8 try 189 rows -> lost [1,3s]
  test 471: g=8 try 189 rows -> lost [2,1s]
  test 472: g=8 try 189 rows -> lost [2,2s]
  test 473: g=8 try 189 rows -> lost [2,6s]
  test 474: g=8 try 189 rows -> lost [2,6s]
  test 475: g=8 try 189 rows -> lost [2,3s]
  test 476: g=8 try 196 rows -> lost [1,4s]
  test 477: g=16 try 203 rows -> lost [2,1s]
  test 478: g=16 try 203 rows -> lost [2,1s]
  test 479: g=16 try 203 rows -> lost [1,2s]
  test 480: g=16 try 203 rows -> lost [2,1s]
  test 481: g=16 try 203 rows -> lost [2,2s]
  test 482: g=16 try 203 rows -> lost [2,1s]
  test 483: g=16 try 203 rows -> lost [2,1s]
  test 484: g=16 try 203 rows -> lost [2,1s]
  test 485: g=16 try 203 rows -> lost [2,4s]
  test 486: g=16 try 203 rows -> lost [2,8s]
  test 487: g=16 try 203 rows -> lost [2,6s]
  test 488: g=16 try 203 rows -> lost [2,3s]
  test 489: g=16 try 203 rows -> lost [2,1s]
  test 490: g=16 try 203 rows -> lost [2,2s]
  test 491: g=16 try 203 rows -> lost [1,6s]
  test 492: g=16 try 210 rows -> lost [1,8s]
  test 493: g=32 try 210 rows -> lost [2,1s]
  test 494: g=32 try 210 rows -> lost [2,0s]
  test 495: g=32 try 210 rows -> lost [2,2s]
  test 496: g=32 try 210 rows -> lost [2,0s]
  test 497: g=32 try 210 rows -> lost [2,0s]
  test 498: g=32 try 210 rows -> lost [1,2s]
  test 499: g=32 try 210 rows -> lost [2,1s]
  test 500: g=32 try 210 rows -> lost [2,2s]
  test 501: g=32 try 210 rows -> lost [2,1s]
  test 502: g=32 try 210 rows -> lost [3,0s]
  test 503: g=32 try 210 rows -> lost [3,0s]
  test 504: g=32 try 210 rows -> lost [2,8s]
  test 505: g=32 try 210 rows -> lost [3,4s]
  test 506: g=32 try 210 rows -> lost [3,2s]
  test 507: g=32 try 210 rows -> lost [3,0s]
  test 508: g=32 try 210 rows -> lost [3,2s]
  test 509: g=32 try 210 rows -> lost [3,1s]
  test 510: g=32 try 210 rows -> lost [3,0s]
  test 511: g=32 try 210 rows -> lost [2,9s]
  test 512: g=32 try 210 rows -> lost [2,2s]
  test 513: g=32 try 210 rows -> lost [2,1s]
  test 514: g=32 try 210 rows -> lost [2,2s]
  test 515: g=32 try 210 rows -> lost [3,0s]
  test 516: g=32 try 210 rows -> lost [3,1s]
  test 517: g=32 try 210 rows -> lost [3,0s]
  test 518: g=32 try 210 rows -> lost [3,1s]
  test 519: g=32 try 210 rows -> lost [3,0s]
  test 520: g=32 try 210 rows -> lost [3,0s]
  test 521: g=32 try 210 rows -> lost [2,4s]
  test 522: g=32 try 210 rows -> lost [2,6s]
  test 523: g=32 try 210 rows -> lost [2,5s]
  test 524: g=64 try 213 rows -> lost [3,0s]
  test 525: g=64 try 213 rows -> lost [3,0s]
